Country,ISO3 code,Group Technology,elec_prod_GWh,installed_cap_MW,capacity_factor,lambda,Price_USD_GWh,pq,gep
Ethiopia,ETH,Solar energy,19.754,12.346,0.18265210036045912,0.630549940982435,36000.0,711144.0,448411.8072300128
Falkland Islands (Malvinas),FLK,Solar energy,0.123,0.07,0.20058708414872795,0.7008156869179675,,,
Fiji,FJI,Solar energy,11.079,8.393,0.1506881958057024,0.5053216372902275,218000.0,2415222.0,1220463.935459378
Finland,FIN,Solar energy,147.182,222.0,0.07568287465547739,0.21146551219007487,133000.0,19575206.0,4139480.963016227
France,FRA,Solar energy,12165.282000000001,10728.641000000001,0.12944144760905021,0.42208104848530725,136000.0,1654478352.0000002,698323957.5084033
French Guiana,GUF,Solar energy,50.815,53.785000000000004,0.10785161451627759,0.3374963204032227,,,
French Polynesia,PYF,Solar energy,39.7,41.099999999999994,0.11026675110266754,0.34695835146956167,,,
Gabon,GAB,Solar energy,0.13,0.098,0.15143043518777374,0.508229585491334,191000.0,24830.0,12619.340607749824
Gambia (the),GMB,Solar energy,2.915,1.829,0.1819368819451206,0.627747855624908,202000.0,588830.0,369636.76982761454
Georgia,GEO,Solar energy,3.556,2.8000000000000003,0.14497716894977167,0.4829469551144726,66000.0,234696.0,113345.71857754626
Germany,DEU,Solar energy,44383.0,48912.0,0.10358506115913324,0.32078080185284685,256000.0,11362048000.0,3644726868.1305346
